date,City,employment,employment_rate,labour_force,participation_rate,population,unemployment,unemployment_rate
2011-01-01,Montreal,2021.0,61.4,2199.8,66.8,3291.5,178.7,8.1
2011-01-01,Toronto,2968.0,63.1,3238.2,68.9,4702.5,270.2,8.3
2011-01-01,Vancouver,1221.2,61.8,1324.9,67.1,1975.8,103.7,7.8
2011-02-01,Montreal,2034.0,61.7,2209.0,67.1,3294.5,174.9,7.9
2011-02-01,Toronto,2941.3,62.5,3216.9,68.3,4709.2,275.6,8.6
2011-02-01,Vancouver,1211.5,61.3,1328.4,67.2,1977.3,116.9,8.8
2011-03-01,Montreal,2035.2,61.7,2207.8,67.0,3297.6,172.7,7.8
2011-03-01,Toronto,2923.8,62.0,3231.4,68.5,4715.6,307.6,9.5
2011-03-01,Vancouver,1216.0,61.5,1320.8,66.7,1978.8,104.8,7.9
2011-04-01,Montreal,2030.8,61.5,2215.2,67.1,3300.9,184.3,8.3
2011-04-01,Toronto,2933.8,62.1,3225.8,68.3,4722.2,291.9,9.0
2011-04-01,Vancouver,1222.6,61.7,1332.2,67.3,1980.2,109.5,8.2
2011-05-01,Montreal,2021.4,61.2,2205.6,66.7,3304.6,184.2,8.4
2011-05-01,Toronto,2927.4,61.9,3210.7,67.9,4730.6,283.2,8.8
2011-05-01,Vancouver,1214.5,61.3,1310.1,66.1,1982.6,95.7,7.3
2011-06-01,Montreal,2036.3,61.6,2220.7,67.2,3306.6,184.4,8.3
2011-06-01,Toronto,2927.7,61.8,3205.9,67.7,4737.7,278.2,8.7
2011-06-01,Vancouver,1216.4,61.3,1314.3,66.2,1985.5,97.9,7.4
2011-07-01,Montreal,2022.8,61.1,2204.6,66.6,3309.1,181.8,8.2
2011-07-01,Toronto,2938.1,61.9,3209.4,67.6,4745.0,271.3,8.5
2011-07-01,Vancouver,1220.3,61.4,1316.6,66.2,1988.7,96.3,7.3
2011-08-01,Montreal,2009.8,60.7,2198.8,66.4,3312.5,189.0,8.6
2011-08-01,Toronto,2932.8,61.7,3201.4,67.3,4753.6,268.6,8.4
2011-08-01,Vancouver,1222.7,61.4,1325.3,66.5,1992.6,102.6,7.7
2011-09-01,Montreal,2007.0,60.5,2178.5,65.7,3315.0,171.5,7.9
2011-09-01,Toronto,2914.3,61.2,3179.5,66.8,4760.3,265.2,8.3
2011-09-01,Vancouver,1256.8,63.0,1348.1,67.6,1995.6,91.3,6.8
2011-10-01,Montreal,1982.7,59.8,2182.0,65.8,3317.4,199.3,9.1
2011-10-01,Toronto,2899.3,60.8,3177.4,66.7,4766.7,278.1,8.8
2011-10-01,Vancouver,1250.6,62.6,1342.5,67.2,1998.5,91.9,6.8
2011-11-01,Montreal,1970.8,59.4,2171.2,65.4,3319.8,200.5,9.2
2011-11-01,Toronto,2905.3,60.9,3179.5,66.6,4772.7,274.2,8.6
2011-11-01,Vancouver,1246.3,62.3,1343.4,67.1,2001.4,97.1,7.2
2011-12-01,Montreal,1964.8,59.1,2171.9,65.4,3322.0,207.0,9.5
2011-12-01,Toronto,2895.8,60.6,3164.3,66.2,4778.8,268.4,8.5
2011-12-01,Vancouver,1239.9,61.9,1333.0,66.5,2004.0,93.1,7.0
2012-01-01,Montreal,1997.7,60.1,2206.1,66.4,3324.2,208.4,9.4
2012-01-01,Toronto,2895.0,60.5,3184.3,66.5,4785.3,289.3,9.1
2012-01-01,Vancouver,1246.7,62.1,1336.1,66.6,2006.9,89.4,6.7
2012-02-01,Montreal,1982.5,59.6,2194.9,66.0,3326.1,212.3,9.7
2012-02-01,Toronto,2901.9,60.6,3185.4,66.5,4791.5,283.5,8.9
2012-02-01,Vancouver,1248.7,62.1,1332.7,66.3,2009.9,84.0,6.3
2012-03-01,Montreal,2008.3,60.3,2205.1,66.3,3328.0,196.9,8.9
2012-03-01,Toronto,2936.7,61.2,3220.1,67.1,4797.5,283.3,8.8
2012-03-01,Vancouver,1247.7,62.0,1340.8,66.6,2012.8,93.1,6.9
2012-04-01,Montreal,2041.4,61.3,2239.9,67.2,3330.9,198.5,8.9
2012-04-01,Toronto,2914.5,60.7,3207.2,66.7,4805.2,292.7,9.1
2012-04-01,Vancouver,1248.2,61.9,1334.5,66.2,2016.6,86.4,6.5
2012-05-01,Montreal,2042.2,61.3,2241.9,67.3,3333.3,199.7,8.9
2012-05-01,Toronto,2924.2,60.8,3222.4,67.0,4811.5,298.2,9.3
2012-05-01,Vancouver,1258.2,62.3,1356.7,67.2,2019.6,98.6,7.3
2012-06-01,Montreal,2028.6,60.8,2219.4,66.5,3336.1,190.8,8.6
2012-06-01,Toronto,2932.4,60.9,3219.5,66.8,4818.4,287.1,8.9
2012-06-01,Vancouver,1262.5,62.4,1358.7,67.2,2022.9,96.2,7.1
2012-07-01,Montreal,2040.1,61.1,2210.0,66.2,3339.4,169.9,7.7
2012-07-01,Toronto,2955.1,61.2,3241.5,67.2,4826.8,286.4,8.8
2012-07-01,Vancouver,1262.9,62.3,1360.0,67.1,2026.7,97.2,7.1
2012-08-01,Montreal,2061.7,61.7,2240.9,67.1,3341.7,179.2,8.0
2012-08-01,Toronto,2965.0,61.4,3262.3,67.5,4832.3,297.3,9.1
2012-08-01,Vancouver,1263.2,62.2,1358.2,66.9,2029.5,94.9,7.0
2012-09-01,Montreal,2064.4,61.7,2247.7,67.2,3343.9,183.3,8.2
2012-09-01,Toronto,3009.0,62.2,3292.9,68.1,4837.9,283.9,8.6
2012-09-01,Vancouver,1253.3,61.7,1360.5,67.0,2032.1,107.2,7.9
2012-10-01,Montreal,2058.5,61.5,2241.5,67.0,3346.1,183.0,8.2
2012-10-01,Toronto,3014.6,62.2,3298.4,68.1,4843.6,283.8,8.6
2012-10-01,Vancouver,1262.8,62.1,1363.8,67.0,2034.9,100.9,7.4
2012-11-01,Montreal,2046.6,61.1,2242.2,67.0,3348.1,195.6,8.7
2012-11-01,Toronto,3022.1,62.3,3306.7,68.2,4849.3,284.6,8.6
2012-11-01,Vancouver,1263.2,62.0,1356.7,66.6,2037.6,93.5,6.9
2012-12-01,Montreal,2085.2,62.2,2267.0,67.7,3350.1,181.8,8.0
2012-12-01,Toronto,3047.4,62.8,3328.3,68.6,4854.8,281.0,8.4
2012-12-01,Vancouver,1255.1,61.5,1344.8,65.9,2040.2,89.7,6.7
2013-01-01,Montreal,2078.6,62.0,2259.0,67.4,3351.7,180.4,8.0
2013-01-01,Toronto,3047.6,62.7,3331.2,68.5,4861.3,283.5,8.5
2013-01-01,Vancouver,1250.8,61.2,1346.8,65.9,2043.5,96.0,7.1
2013-02-01,Montreal,2080.2,62.0,2259.0,67.4,3352.8,178.7,7.9
2013-02-01,Toronto,3049.5,62.7,3317.7,68.2,4865.7,268.2,8.1
2013-02-01,Vancouver,1271.7,62.2,1364.1,66.7,2045.7,92.4,6.8
2013-03-01,Montreal,2060.0,61.4,2257.5,67.3,3354.6,197.4,8.7
2013-03-01,Toronto,3042.4,62.5,3310.8,68.0,4871.1,268.4,8.1
2013-03-01,Vancouver,1262.1,61.6,1363.7,66.6,2048.6,101.7,7.5
2013-04-01,Montreal,2064.4,61.5,2255.9,67.2,3357.1,191.4,8.5
2013-04-01,Toronto,3058.3,62.7,3325.3,68.2,4878.5,267.0,8.0
2013-04-01,Vancouver,1265.0,61.6,1364.9,66.5,2052.1,100.0,7.3
2013-05-01,Montreal,2092.7,62.3,2276.3,67.8,3359.2,183.6,8.1
2013-05-01,Toronto,3067.5,62.8,3328.8,68.1,4884.7,261.4,7.9
2013-05-01,Vancouver,1264.6,61.5,1340.6,65.2,2055.2,76.0,5.7
2013-06-01,Montreal,2085.3,62.0,2263.2,67.3,3361.5,177.9,7.9
2013-06-01,Toronto,3080.7,63.0,3354.3,68.6,4891.3,273.6,8.2
