"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-01","Montréal, Quebec","2021S0503462","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719940","1.1.1.1","3291.5","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719941","1.1.1.2","3291.5","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Labour force","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719948","1.2.1.1","2199.8","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Labour force","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719949","1.2.1.2","2156.9","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Labour force","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719950","1.2.2.1","24.3","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Employment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719956","1.3.1.1","2021.0","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Employment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719957","1.3.1.2","1967.6","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Employment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719958","1.3.2.1","25.6","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Unemployment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719964","1.4.1.1","178.7","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Unemployment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719965","1.4.1.2","189.4","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Unemployment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719966","1.4.2.1","11.8","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642719972","1.5.1.1","8.1","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1642719973","1.5.1.2","8.8","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Unemployment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642719974","1.5.2.1","0.5","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642719980","1.6.1.1","66.8","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Participation rate","Estimate","Unadjusted","Percent","239","units","0","v1642719981","1.6.1.2","65.5","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Participation rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642719982","1.6.2.1","0.7","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Employment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642719988","1.7.1.1","61.4","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Employment rate","Estimate","Unadjusted","Percent","239","units","0","v1642719989","1.7.1.2","59.8","","","","1"
"2011-01","Montréal, Quebec","2021S0503462","Employment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642719990","1.7.2.1","0.8","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719996","2.1.1.1","4702.5","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719997","2.1.1.2","4702.5","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Labour force","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720004","2.2.1.1","3238.2","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Labour force","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720005","2.2.1.2","3205.6","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Labour force","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720006","2.2.2.1","33.1","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Employment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720012","2.3.1.1","2968.0","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Employment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720013","2.3.1.2","2936.5","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Employment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720014","2.3.2.1","33.8","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Unemployment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720020","2.4.1.1","270.2","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Unemployment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720021","2.4.1.2","269.2","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Unemployment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720022","2.4.2.1","15.7","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642720028","2.5.1.1","8.3","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1642720029","2.5.1.2","8.4","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Unemployment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642720030","2.5.2.1","0.5","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642720036","2.6.1.1","68.9","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Participation rate","Estimate","Unadjusted","Percent","239","units","0","v1642720037","2.6.1.2","68.2","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Participation rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642720038","2.6.2.1","0.7","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Employment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642720044","2.7.1.1","63.1","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Employment rate","Estimate","Unadjusted","Percent","239","units","0","v1642720045","2.7.1.2","62.4","","","","1"
"2011-01","Toronto, Ontario","2021S0503535","Employment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642720046","2.7.2.1","0.7","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720052","3.1.1.1","1975.8","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720053","3.1.1.2","1975.8","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Labour force","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720060","3.2.1.1","1324.9","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Labour force","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720061","3.2.1.2","1299.3","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Labour force","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720062","3.2.2.1","15.4","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720068","3.3.1.1","1221.2","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720069","3.3.1.2","1196.7","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720070","3.3.2.1","15.9","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720076","3.4.1.1","103.7","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720077","3.4.1.2","102.6","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720078","3.4.2.1","7.2","","","","1"
